sample_id	begin	end	type	extraction	mistake_type
87	273	287	art-writtenart	Earthy Politics	FN
87	69	89	art-writtenart	Learning from Disaster	FN
87	174	211	organization-other	Intergovernmental Panel on Climate Change	FN
89	0	8	person-other	Raimbaut	FP
89	0	8	person-soldier	Raimbaut	FN
91	69	75	person-artist/author	Siegel	FP
91	28	34	person-other	Siegel	FP
91	28	40	building-restaurant	Siegel 's 1941	FN
91	69	75	building-restaurant	Siegel	FN
92	29	41	person-artist/author	Tim Armstrong	FP
92	29	41	person-director	Tim Armstrong	FN
93	0	10	other-biologything	Reductions	FN
99	1	7	product-other	Uranus	FP
99	50	79	event-other	Planetary Science Decadal Survey	FP
99	1	7	other-astronomything	Uranus	FN
99	41	79	organization-other	2013–2022 Planetary Science Decadal Survey	FN
100	34	40	organization-sportsteam	Super G	FN
101	0	15	person-other	Carter Blackburn	FP
102	106	110	product-weapon	SA-7	FP
102	106	117	other-chemicalthing	SA-7 missile	FN
103	40	63	person-politician	Henry Campbell-Bannerman	FP
103	40	63	person-other	Henry Campbell-Bannerman	FN
106	126	137	person-politician	Jean Séguier	FP
106	126	137	person-soldier	Jean Séguier	FN
107	128	178	art-writtenart	Contemporary Issues - A Magazine for a Democracy of Content	FP
107	160	178	organization-politicalparty	Democracy of Content	FN
107	128	146	art-writtenart	Contemporary Issues	FN
110	45	59	organization-other	Canadian Forces	FP
110	45	59	organization-government/governmentagency	Canadian Forces	FN
111	196	207	location-GPE	Vijin-e Pain	FP
112	44	52	organization-company	Estrella	FP
112	138	142	organization-media/newspaper	WSVN	FP
112	106	113	organization-company	Sunbeam	FP
112	106	123	organization-media/newspaper	Sunbeam Television	FN
112	44	54	organization-media/newspaper	Estrella TV	FN
113	15	22	location-GPE	Bermuda	FP
113	15	22	location-island	Bermuda	FN
114	18	27	person-other	Mosteller	FP
114	18	27	person-politician	Mosteller	FN
115	20	31	location-island	Mljet island	FP
115	17	31	location-island	the Mljet island	FN
116	67	76	organization-other	PC Gamer UK	FP
116	2	15	product-game	Heroes of Might	FP
116	2	25	product-game	Heroes of Might and Magic II	FN
116	67	76	organization-media/newspaper	PC Gamer UK	FN
117	98	106	organization-religion	Reformed	FP
117	13	53	organization-religion	Reformed Presbyterian Church of North America	FP
117	57	89	organization-religion	Free Presbyterian Church of Scotland	FP
117	10	53	organization-religion	the Reformed Presbyterian Church of North America	FN
117	54	89	organization-religion	the Free Presbyterian Church of Scotland	FN
118	71	75	organization-company	CHUM	FP
118	141	145	organization-media/newspaper	CFUN	FP
118	156	163	organization-media/newspaper	CKVU-TV	FP
118	146	153	organization-media/newspaper	CHQM-FM	FP
118	141	145	organization-company	CFUN	FN
118	71	75	organization-media/newspaper	CHUM	FN
118	146	153	organization-company	CHQM-FM	FN
118	156	163	organization-company	CKVU-TV	FN
122	3	34	organization-education	Eindhoven University of Technology	FP
122	104	109	location-GPE	Dutch	FP
122	51	82	organization-education	Technische Hogeschool Eindhoven ''	FN
122	3	22	organization-education	Eindhoven University	FN
122	104	119	organization-government/governmentagency	Dutch government	FN
122	83	86	organization-education	THE	FN
123	0	7	person-other	Andrews	FP
123	30	44	person-artist/author	Richard Rodgers	FP
123	0	7	person-artist/author	Andrews	FN
123	30	44	person-other	Richard Rodgers	FN
126	75	82	location-GPE	British	FP
126	62	72	location-GPE	New Zealand	FP
126	45	62	building-library	National Library of	FP
126	45	72	building-library	National Library of New Zealand	FN
126	75	89	building-library	British Library	FN
127	20	28	organization-other	AS/SPACE	FP
127	20	28	organization-company	AS/SPACE	FN
129	19	55	organization-government/governmentagency	PSP 's Bihar Provincial Executive Council	FP
129	24	55	organization-government/governmentagency	Bihar Provincial Executive Council	FN
129	19	22	organization-politicalparty	PSP	FN
129	0	3	person-politician	Das	FN
130	7	10	organization-media/newspaper	RTP	FP
134	145	148	organization-media/newspaper	NBC	FP
134	102	117	person-artist/author	Scott Neustadter	FP
134	55	63	location-GPE	American	FP
134	120	134	person-artist/author	Michael H. Weber	FP
134	102	117	person-other	Scott Neustadter	FN
134	120	134	person-other	Michael H. Weber	FN
134	145	148	organization-company	NBC	FN
137	4	13	person-other	Kinnick Sr	FP
137	0	14	person-other	Nile Kinnick Sr .	FN
140	95	108	organization-other	Alpha Delta Phi	FP
140	95	118	organization-other	Alpha Delta Phi fraternity	FN
141	12	15	location-GPE	N.S	FP
143	0	8	location-GPE	Meinhard	FP
144	91	97	location-GPE	German	FP
144	27	36	location-GPE	Uerdingen	FP
144	13	20	location-GPE	Benrath	FP
144	111	117	location-GPE	German	FP
144	13	24	location-other	Benrath line	FN
144	27	40	location-other	Uerdingen line	FN
144	107	117	other-language	High German	FN
144	80	97	other-language	West Central German	FN
145	11	20	organization-showorganization	Zen Rizing	FP
145	11	20	person-artist/author	Zen Rizing	FN
146	50	57	location-other	Icewind	FP
146	50	61	person-other	Icewind Dale	FN
147	29	54	event-other	Vietnam Moratorium Campaign	FP
147	10	16	location-GPE	Cairns	FP
147	29	54	event-attack/battle/war/militaryconflict	Vietnam Moratorium Campaign	FN
147	10	16	person-politician	Cairns	FN
148	59	65	other-livingthing	tigers	FP
149	43	70	organization-sportsteam	Africa Sports National Abidjan	FP
149	43	70	organization-sportsleague	Africa Sports National Abidjan	FN
150	22	33	other-biologything	lymphocytes	FP
151	71	81	location-island	Bioko Norte	FP
151	38	43	location-island	Bioko	FP
151	71	81	location-GPE	Bioko Norte	FN
151	38	43	location-GPE	Bioko	FN
152	2	4	other-currency	ČZ	FP
152	11	13	other-currency	CZ	FP
152	60	62	other-currency	vz	FP
152	36	50	other-currency	Česká zbrojovka	FP
152	36	50	organization-other	Česká zbrojovka	FN
152	11	13	organization-other	CZ	FN
152	2	4	organization-other	ČZ	FN
153	61	70	location-GPE	South Asia	FP
153	61	70	location-other	South Asia	FN
156	75	86	location-road/railway/highway/transit	BNSF Railway	FP
156	75	86	building-other	BNSF Railway	FN
157	36	47	event-sportsevent	Copa Mustang	FP
157	7	24	event-sportsevent	Categoría Primera A	FP
157	36	51	event-sportsevent	Copa Mustang 2001	FN
157	3	24	event-sportsevent	2001 Categoría Primera A	FN
158	28	40	organization-religion	Sint-Truiden	FN
159	76	81	person-artist/author	Baker	FP
159	47	52	art-writtenart	Elvis	FP
159	129	134	person-artist/author	Baker	FP
159	129	134	person-other	Baker	FN
159	47	72	art-writtenart	Elvis , Jesus & amp ; Coca-Cola	FN
159	76	81	person-other	Baker	FN
163	16	28	organization-sportsteam	Harimau Muda A	FP
163	41	52	organization-sportsleague	Super League	FP
163	69	77	organization-sportsteam	KL PLUS FC	FP
163	80	92	organization-sportsteam	Harimau Muda B	FP
163	16	28	person-other	Harimau Muda A	FN
163	41	60	organization-sportsleague	Super League Malaysia	FN
163	69	77	person-other	KL PLUS FC	FN
163	80	92	person-other	Harimau Muda B	FN
165	15	28	product-weapon	KV-1 Model 1940	FN
165	3	7	product-weapon	F-32	FN
166	86	89	organization-other	FUA	FP
166	92	97	other-law	PURPA	FN
166	86	89	other-law	FUA	FN
168	0	11	person-athlete	Murray Chass	FP
168	0	11	person-artist/author	Murray Chass	FN
168	51	59	product-other	baseball	FN
171	13	19	location-GPE	Russia	FP
175	50	72	location-other	Vandenberg Air Force Base	FP
175	22	34	location-GPE	United States	FP
175	50	72	organization-other	Vandenberg Air Force Base	FN
175	19	34	location-GPE	the United States	FN
178	140	163	person-politician	Lucius Caecilius Metellus	FP
178	140	163	person-other	Lucius Caecilius Metellus	FN
180	77	86	other-livingthing	nematodes	FP
180	61	86	other-livingthing	gastrointestinal nematodes	FN
180	374	387	other-medical	anthelmintics	FN
180	281	295	other-medical	anti-parasitic	FN
181	129	142	art-music	In memory of Son	FP
181	91	95	person-other	Bono	FP
181	129	142	art-writtenart	In memory of Son	FN
181	91	95	person-artist/author	Bono	FN
183	21	26	other-language	Greek	FP
184	83	88	person-other	Joker	FP
184	180	199	art-writtenart	The Batman Adventures	FP
184	135	137	organization-company	DC	FP
184	144	150	art-writtenart	Batman	FN
184	180	199	art-film	The Batman Adventures	FN
184	135	143	organization-company	DC Comics	FN
186	68	78	organization-sportsteam	Charleston	FP
186	68	78	organization-education	Charleston	FN
187	3	21	organization-politicalparty	Central Bolívar Bloc	FP
187	108	111	organization-other	AUC	FP
187	3	21	organization-other	Central Bolívar Bloc	FN
188	30	43	building-airport	Frontier Field	FP
188	30	43	location-GPE	Frontier Field	FN
191	21	39	organization-government/governmentagency	Putumayo Department	FP
192	82	88	organization-other	French	FP
192	19	25	person-other	Faivre	FP
192	82	92	organization-other	French Army	FN
192	19	25	person-soldier	Faivre	FN
193	0	4	person-soldier	Reed	FP
194	10	13	organization-education	The	FP
194	65	69	organization-sportsleague	NCAA	FP
194	65	69	organization-other	NCAA	FN
195	0	1	product-game	&	FP
195	5	25	art-film	DrumMania V6 Blazing ! !	FN
196	43	49	other-language	German	FP
197	0	3	organization-media/newspaper	CBS	FP
197	0	3	organization-company	CBS	FN
202	91	102	product-other	COPE THUNDER	FP
202	91	102	event-other	COPE THUNDER	FN
203	79	84	product-software	ASCII	FN
204	63	67	person-other	Jean	FP
204	63	72	person-artist/author	Jean Louis	FN
205	33	39	other-astronomything	Tholen	FP
206	50	90	organization-religion	World Evangelical Congregational Fellowship	FP
206	12	44	organization-religion	World Communion of Reformed Churches	FP
206	12	44	organization-other	World Communion of Reformed Churches	FN
206	50	90	organization-other	World Evangelical Congregational Fellowship	FN
208	196	205	product-software	Mercurial	FP
208	97	102	person-other	Larry	FP
208	97	102	organization-company	Larry	FN
208	196	205	organization-company	Mercurial	FN
211	38	59	building-other	Harrah 's Entertainment	FP
211	111	114	location-GPE	Rio	FP
211	67	87	building-other	Caesars Entertainment	FP
211	67	87	organization-company	Caesars Entertainment	FN
211	38	59	organization-company	Harrah 's Entertainment	FN
211	111	114	organization-other	Rio	FN
213	121	137	product-software	Google Street View	FP
213	121	137	product-other	Google Street View	FN
214	98	105	organization-government/governmentagency	Commons	FP
214	3	27	organization-other	Malvern Hills Conservators	FP
214	83	90	location-mountain	Malvern	FP
214	83	105	location-other	Malvern Hills and Commons	FN
214	0	27	organization-other	The Malvern Hills Conservators	FN
216	40	44	product-train	EP10	FP
216	40	44	product-other	EP10	FN
219	0	5	location-GPE	Hardy	FP
219	0	5	location-road/railway/highway/transit	Hardy	FN
221	82	97	building-other	Rose Reading Room	FP
221	82	97	building-library	Rose Reading Room	FN
222	35	44	art-other	Odd Couple	FP
222	45	51	art-other	Rumors	FP
222	73	98	art-other	Just Another High School Play	FP
222	24	33	person-artist/author	Neil Simon	FP
222	52	69	art-other	Arsenic and Old Lace	FP
222	52	59	art-writtenart	Arsenic	FN
222	24	44	art-writtenart	Neil Simon 's Odd Couple	FN
222	62	69	art-writtenart	Old Lace	FN
222	45	51	art-writtenart	Rumors	FN
222	73	98	art-writtenart	Just Another High School Play	FN
223	55	66	location-GPE	Netherlands	FP
223	55	66	organization-sportsteam	Netherlands	FN
224	26	35	art-writtenart	Odalisque	FP
224	26	35	art-other	Odalisque	FN
226	3	20	product-software	Splashtop Streamer	FP
226	3	12	product-software	Splashtop	FN
229	38	58	building-other	Tongariro Power Scheme	FP
229	38	47	location-GPE	Tongariro	FN
231	128	134	location-GPE	London	FP
231	119	134	location-GPE	southeast London	FN
232	16	27	other-biologything	Janus kinase	FP
232	16	21	other-biologything	Janus	FN
233	3	7	other-educationaldegree	Ph.D	FP
233	3	8	other-educationaldegree	Ph.D .	FN
236	0	4	person-other	Hugh	FP
236	53	57	person-other	Hugh	FP
236	59	65	location-GPE	Avalon	FP
236	53	65	person-other	Hugh of Avalon	FN
237	0	9	person-other	Peristeri	FP
237	0	9	person-politician	Peristeri	FN
238	78	82	organization-politicalparty	BCM (	FP
238	43	48	organization-politicalparty	Black	FP
238	78	84	organization-other	BCM ( A )	FN
238	43	77	organization-other	Black Consciousness Movement of Azania	FN
239	5	15	location-GPE	Vietnamese	FP
239	5	15	other-language	Vietnamese	FN
240	104	114	location-bodiesofwater	McCook Lake	FP
240	99	114	location-bodiesofwater	oxbow McCook Lake	FN
242	46	53	event-election	Florida	FP
242	46	53	location-GPE	Florida	FN
243	84	94	location-road/railway/highway/transit	Laguna Seca	FP
243	84	94	location-GPE	Laguna Seca	FN
244	33	36	organization-politicalparty	CPP	FP
245	33	51	location-island	Antarctic Peninsula	FP
245	33	51	location-GPE	Antarctic Peninsula	FN
247	14	26	person-politician	Maj Gen Veitch	FP
247	14	26	person-other	Maj Gen Veitch	FN
249	0	10	person-politician	Fianna Fáil	FP
249	0	10	organization-politicalparty	Fianna Fáil	FN
250	64	91	art-writtenart	Imaging in the Infertile Couple	FN
252	59	68	location-GPE	Argentine	FP
253	25	28	location-GPE	U.S	FP
253	31	41	building-other	Fontana Dam	FP
253	87	90	location-GPE	U.S	FP
253	25	29	location-GPE	U.S .	FN
253	87	91	location-GPE	U.S .	FN
253	31	41	location-other	Fontana Dam	FN
254	51	56	person-other	Dekke	FN
255	49	59	location-park	Action Park	FP
255	28	36	location-GPE	American	FP
255	28	59	location-park	American amusement park Action Park	FN
256	100	125	organization-education	Air Command and Staff College	FP
256	28	33	person-other	James	FP
256	28	33	person-soldier	James	FN
256	113	125	organization-education	Staff College	FN
256	100	110	organization-other	Air Command	FN
257	31	36	person-other	Kaleb	FP
257	31	36	person-politician	Kaleb	FN
260	65	70	other-language	Latin	FP
260	65	70	location-GPE	Latin	FN
262	73	102	event-sportsevent	FIBA Under-17 World Championship	FP
262	69	102	event-sportsevent	2016 FIBA Under-17 World Championship	FN
265	128	140	person-other	F. S. Reynolds	FP
265	2	15	location-GPE	Washington D.C	FP
265	2	16	location-GPE	Washington D.C .	FN
265	128	140	person-scholar	F. S. Reynolds	FN
266	40	46	location-GPE	Paeroa	FP
266	40	46	location-other	Paeroa	FN
267	57	70	product-ship	Roskilde Fjord	FP
267	27	38	product-ship	Viking ships	FN
267	57	70	location-bodiesofwater	Roskilde Fjord	FN
268	102	108	organization-sportsteam	Newton	FP
268	22	30	organization-sportsteam	Maritime	FP
268	102	108	location-GPE	Newton	FN
270	34	39	product-other	Mark I	FP
270	71	88	organization-company	Marmon-Herrington	FP
270	3	5	product-weapon	Mk	FP
270	34	39	product-weapon	Mark I	FN
270	3	7	product-weapon	Mk II	FN
270	71	88	product-weapon	Marmon-Herrington	FN
271	42	49	location-GPE	Ukraine	FP
271	13	30	event-attack/battle/war/militaryconflict	Russian Revolution	FP
271	71	82	organization-government/governmentagency	3rd Congress	FN
271	9	49	event-protest	1905 Russian Revolution Bolsheviks in Ukraine	FN
273	23	33	person-other	Tommykaira	FP
273	23	33	organization-company	Tommykaira	FN
276	0	6	person-politician	Arbace	FP
276	0	6	person-other	Arbace	FN
277	189	209	location-bodiesofwater	Shepperton-Weybridge	FP
277	52	62	location-GPE	Shepperton	FP
277	189	214	product-ship	Shepperton-Weybridge Ferry	FN
277	52	62	location-other	Shepperton	FN
278	168	180	product-airplane	Douglas DC-7C	FP
278	45	48	building-airport	BOB	FP
278	29	44	building-airport	Bora Bora Airport	FP
278	45	48	location-road/railway/highway/transit	BOB	FN
278	168	190	product-airplane	Douglas DC-7C propliners	FN
278	29	44	location-road/railway/highway/transit	Bora Bora Airport	FN
279	94	118	organization-sportsteam	Uruguayan Primera División	FP
279	103	130	organization-sportsteam	Primera División club Nacional	FN
279	94	103	location-GPE	Uruguayan	FN
280	40	50	person-politician	Bernadotte	FP
280	40	50	person-soldier	Bernadotte	FN
281	22	51	building-other	Great Zimbabwe National Monument	FP
281	22	51	location-other	Great Zimbabwe National Monument	FN
282	47	65	building-other	Fresh Kills Landfill	FP
282	47	65	location-other	Fresh Kills Landfill	FN
284	26	36	person-politician	Alexander I	FP
284	19	36	person-politician	Emperor Alexander I	FN
289	11	22	organization-other	425 squadron	FN
290	5	21	art-writtenart	Sharpless catalog	FP
292	386	393	person-director	Ian Holm	FP
292	292	301	person-director	Lee Marvin	FP
292	135	151	person-politician	Stanley Schneider	FP
292	177	196	building-theater	American Film Theatre	FP
292	62	87	organization-other	Business Affairs Department	FP
292	345	355	person-director	Zero Mostel	FP
292	258	270	person-director	Paul Scofield	FP
292	356	366	person-director	Gene Wilder	FP
292	302	313	person-director	Jeff Bridges	FP
292	424	440	person-director	Maximilian Schell	FP
292	241	257	person-director	Katharine Hepburn	FP
292	163	172	person-other	Ely Landau	FP
292	345	355	person-actor	Zero Mostel	FN
292	258	270	person-actor	Paul Scofield	FN
292	302	313	person-actor	Jeff Bridges	FN
292	163	172	person-director	Ely Landau	FN
292	424	440	person-actor	Maximilian Schell	FN
292	356	366	person-actor	Gene Wilder	FN
292	241	257	art-film	Katharine Hepburn	FN
292	177	196	building-other	American Film Theatre	FN
292	386	393	person-actor	Ian Holm	FN
292	292	301	person-actor	Lee Marvin	FN
292	126	151	person-other	President Stanley Schneider	FN
296	61	65	location-GPE	D.C .	FN
298	106	126	other-educationaldegree	MFA in Creative Writing	FP
298	44	65	other-educationaldegree	MA in English Literature	FP
298	170	208	other-educationaldegree	MA and PhD in English Language and Literature	FP
298	170	172	other-educationaldegree	MA	FN
298	175	178	other-educationaldegree	PhD	FN
298	44	46	other-educationaldegree	MA	FN
298	106	109	other-educationaldegree	MFA	FN
299	100	113	location-GPE	Gogebic County	FP
299	100	107	location-GPE	Gogebic	FN
300	94	105	location-road/railway/highway/transit	path of peace	FN
303	0	5	person-other	Harun	FP
303	0	5	person-soldier	Harun	FN
303	41	49	location-GPE	Samanids	FN
304	46	53	location-GPE	Belgian	FP
304	61	68	location-GPE	Belgian	FP
304	78	83	person-artist/author	Nadar	FN
304	46	58	other-language	Belgian Dutch	FN
304	61	74	other-language	Belgian French	FN
307	0	4	organization-other	TAMC	FP
307	82	103	organization-other	altrans Division of Rail	FP
307	113	120	location-road/railway/highway/transit	Capitol	FP
307	40	55	organization-other	Capitol Corridor	FP
307	0	4	organization-politicalparty	TAMC	FN
307	113	128	organization-company	Capitol Corridor	FN
307	40	75	organization-government/governmentagency	Capitol Corridor Joint Powers Authority	FN
307	82	103	organization-government/governmentagency	altrans Division of Rail	FN
308	0	8	person-other	Butch Vig	FP
308	19	27	art-film	Honeybee	FP
308	72	78	person-other	Manson	FP
308	0	8	person-artist/author	Butch Vig	FN
308	19	27	art-music	Honeybee	FN
308	72	78	person-artist/author	Manson	FN
310	0	6	art-music	Live at	FP
310	6	24	event-other	Sweden Rock Festival	FN
312	0	6	person-other	Strang	FP
312	0	6	person-scholar	Strang	FN
313	45	57	art-film	The Wannadies	FP
313	2	5	art-music	You	FP
313	64	76	art-film	Romeo + Juliet	FP
313	64	76	art-music	Romeo + Juliet	FN
313	45	57	organization-showorganization	The Wannadies	FN
313	2	14	art-music	You and Me Song	FN
314	13	28	other-law	Act of Parliament	FP
314	39	63	organization-government/governmentagency	Parliament of Great Britain	FP
314	51	63	location-GPE	Great Britain	FN
316	58	76	location-GPE	District of Columbia	FP
316	68	76	location-GPE	Columbia	FN
317	47	56	location-GPE	Antarctic	FP
317	61	74	location-bodiesofwater	Cumberland Bay	FP
317	47	56	location-bodiesofwater	Antarctic	FN
317	61	74	location-other	Cumberland Bay	FN
321	98	103	person-artist/author	Gaudí	FP
321	130	180	other-award	Grammy Award for Best Classical Contemporary Composition	FP
321	98	103	person-other	Gaudí	FN
321	130	141	other-award	Grammy Award	FN
322	19	23	art-other	Mike	FP
322	19	41	product-game	Mike Tyson 's Punch-Out ! !	FN
324	79	107	event-other	New Carissa oil spill settlement	FP
324	79	89	location-GPE	New Carissa	FN
325	32	49	person-artist/author	Christophe Rousset	FP
325	32	49	person-other	Christophe Rousset	FN
326	26	40	organization-sportsleague	Komsomol league	FP
326	26	40	organization-other	Komsomol league	FN
328	34	63	other-disease	borderline personality disorder	FP
328	34	55	other-disease	borderline personality	FN
330	52	62	location-GPE	Washington	FP
330	52	65	location-GPE	Washington , DC	FN
333	62	77	person-other	Guillaume Dubois	FP
333	62	77	person-scholar	Guillaume Dubois	FN
336	57	67	person-other	Betancourt	FP
336	2	14	art-writtenart	Carta Capital	FP
336	57	67	location-other	Betancourt	FN
336	2	14	organization-media/newspaper	Carta Capital	FN
338	7	12	person-athlete	Joust	FN
342	9	20	person-other	Chandra Deva	FP
342	9	20	other-god	Chandra Deva	FN
344	65	72	other-god	samadhi	FN
344	74	93	other-god	bhagat Jatt Jeona Morh	FN
345	112	118	organization-company	Stills	FP
345	105	111	location-GPE	Crosby	FP
345	93	103	person-artist/author	Graham Nash	FP
345	11	22	organization-company	HDNet Movies	FP
345	93	103	person-other	Graham Nash	FN
345	11	22	organization-media/newspaper	HDNet Movies	FN
346	26	36	person-politician	Enver Pasha	FP
346	107	115	location-GPE	Russians	FP
346	26	36	person-soldier	Enver Pasha	FN
348	78	88	person-other	Aventurine	FP
348	78	88	organization-company	Aventurine	FN
350	67	87	organization-politicalparty	Australian Labor Party	FP
350	28	38	location-GPE	Australian	FP
350	24	48	event-other	1949 Australian coal strike	FN
350	67	97	organization-government/governmentagency	Australian Labor Party government	FN
354	13	17	person-other	Onas	FP
354	13	23	person-scholar	Onas Bolton	FN
355	91	103	organization-company	Fantasy Press	FP
355	91	103	organization-media/newspaper	Fantasy Press	FN
358	109	117	location-GPE	Kennoway	FP
358	118	123	location-GPE	Leven	FP
